ref_number,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,other_names,property_id,district_name,address,latitude,longitude,aos_agriculture,aos_archeology,aos_architecture,aos_community_planning_and_development,aos_conservation,aos_landscape_architecture,aos_social_history,aos_european,aos_archeology_prehistoric,aos_ethnic_heritage_native_american,aos_exploration_settlement,aos_entertainment_recreation,aos_transportation,aos_historic_non_aboriginal,aos_art,aos_black,aos_commerce,aos_military,aos_education,aos_politics_government,aos_industry,aos_engineering,aos_religion,aos_historic_aboriginal,aos_prehistoric,aos_economics,aos_ethnic_heritage_black,aos_other,aos_ethnic_heritage_european,aos_ethnic_heritage_other_ethnic,aos_ethnic_heritage,aos_literature,aos_maritime_history,aos_native_american,aos_science,aos_invention,aos_law,aos_communications,aos_archeology_historic_non_aboriginal,aos_performing_arts,aos_hispanic,aos_archeology_historic_aboriginal,aos_health_medicine,aos_asian,aos_other_ethnic,aos_ethnic_heritage_hispanic,aos_philosophy,aos_ethnic_heritage_asian,aos_pacific_islander,aos_na
13000539,Lebanon Veterans Administration Hospital Historic District,Pennsylvania,Lebanon,South Lebanon,1700 S. Lincoln Ave.,Listed,Multiple,FALSE,215,Politics/Government; Health/Medicine; Architecture,District,NA,FALSE,TRUE,FALSE,FALSE,2013-07-23,Lebanon Veterans Affairs Medical Center,13000539,Lebanon Veterans Administration Hospital,"Lebanon Veterans Administration Hospital Historic District, South Lebanon, Pennsylvania",40.317310001849,-76.397120019606,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12000608,Mt. Gretna Campmeeting Historic District,Pennsylvania,Lebanon,Mt. Gretna Heights,"Roughly bounded by PA 117, Pinch Rd., Bell Ave., & 1st St. (West Cornwall Township)",Listed,Single,FALSE,16,Architecture; Religion,District,https://catalog.archives.gov/id/71998683,FALSE,TRUE,FALSE,FALSE,2012-09-04,NA,12000608,Mt. Gretna Campmeeting,"Mt. Gretna Campmeeting Historic District, Mt. Gretna Heights, Pennsylvania",40.247154184732,-76.466318832928,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15000535,Pennsylvania Chautauqua Historic District,Pennsylvania,Lebanon,Mount Gretna,"Roughly bounded by State Game Lands, PA 117, Pinch Rd., Lancaster & Pennsylvania Aves.",Listed,Single,FALSE,48.3,Architecture; Entertainment/Recreation; Social History,District,NA,FALSE,FALSE,TRUE,FALSE,2015-08-18,Mount Gretna Chautauqua,15000535,Pennsylvania Chautauqua,"Pennsylvania Chautauqua Historic District, Mount Gretna, Pennsylvania",40.246203,-80.302984,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84003457,Biery's Port Historic District,Pennsylvania,Lehigh,Catasauqua,"Roughly bounded by Pineapple, Front, Race, and Mulberry Sts.",Listed,Single,FALSE,21,Industry; Commerce; Exploration/Settlement,District,https://catalog.archives.gov/id/71994917,FALSE,FALSE,TRUE,FALSE,1984-08-09,Catasauqua,84003457,Biery's Port,"Biery's Port Historic District, Catasauqua, Pennsylvania",40.454828010618,-75.824126538739,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84003465,Catasauqua Residential Historic District,Pennsylvania,Lehigh,Catasauqua,"Roughly bounded by Howertown Rd., Railroad Ave., Oak and Bridge Sts.",Listed,Single,FALSE,23,Industry; Architecture,District,https://catalog.archives.gov/id/71994915,FALSE,FALSE,TRUE,FALSE,1984-05-10,NA,84003465,Catasauqua Residential,"Catasauqua Residential Historic District, Catasauqua, Pennsylvania",40.660239871369,-75.471511820974,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82003798,Coopersburg Historic District,Pennsylvania,Lehigh,Coopersburg,Main St. and PA 309,Listed,Single,FALSE,93,Industry; Commerce; Agriculture; Transportation; Architecture; Religion; Social History,District,https://catalog.archives.gov/id/71995148,FALSE,FALSE,TRUE,FALSE,1982-04-26,See Also:Linden Grove Pavilion,82003798,Coopersburg,"Coopersburg Historic District, Coopersburg, Pennsylvania",40.52808121337,-75.393826326073,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88000450,Fountain Hill Historic District,Pennsylvania,Lehigh,Bethlehem,"Roughly bounded by Brighton, Wyandotte, W. Fourth and Seminole Sts., and Delaware Ave.",Listed,Single,FALSE,33.6,Industry; Transportation; Architecture,District,https://catalog.archives.gov/id/71994676,FALSE,FALSE,TRUE,FALSE,1988-04-21,See Also:Lehigh Valley Railroad Headquarters,88000450,Fountain Hill,"Fountain Hill Historic District, Bethlehem, Pennsylvania",39.86821098247,-75.28126398813,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100008170,Hokendauqua Thomas Iron Company Town Historic District,Pennsylvania,Lehigh,Whitehall,"Roughly bounded by Front, Center, Carbon, Vine, and South Sts.",Listed,Single,FALSE,640,Industry; Community Planning And Development,District,NA,FALSE,FALSE,TRUE,FALSE,2022-09-19,NA,100008170,Hokendauqua Thomas Iron Company Town,"Hokendauqua Thomas Iron Company Town Historic District, Whitehall, Pennsylvania",40.660909819724,-75.491641711207,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04000839,Slatington Historic District,Pennsylvania,Lehigh,Slatington,"Roughly bounded by Ridge Alley, Chesnut St., Railroad St., Kern St., Hill Alley, 5th St. and Dowell",Listed,Single,FALSE,NA,NA,District,https://catalog.archives.gov/id/71998167,FALSE,FALSE,FALSE,FALSE,2004-08-11,NA,04000839,Slatington,"Slatington Historic District, Slatington, Pennsylvania",40.749703992973,-75.614913523018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
99001287,Bear Creek Village Historic District,Pennsylvania,Luzerne,Bear Creek Village,PA 115 at Bear C reek Dam,Listed,Single,FALSE,222,Architecture; Entertainment/Recreation; Industry,District,https://catalog.archives.gov/id/71994576,FALSE,FALSE,TRUE,FALSE,1999-10-28,NA,99001287,Bear Creek Village,"Bear Creek Village Historic District, Bear Creek Village, Pennsylvania",41.190122902016,-75.776032393694,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
