latitude,longitude,name,type,popup
40.394386,-105.070584,HQ and Manufacturing Facility,EV Facility,"<strong>HQ and Manufacturing Facility</strong><br/>Lightning eMotors<br/>Loveland, CO<br/>Medium-Duty (Class 3-6)"
42.307175,-83.161995,Rouge Electric Vehicle Center,EV Facility,"<strong>Rouge Electric Vehicle Center</strong><br/>Ford<br/>Dearborn, MI<br/>Light-Duty (Class 1-2)"
37.545665,-121.985069,Tesla Fremont Factory,EV Facility,"<strong>Tesla Fremont Factory</strong><br/>Tesla<br/>Fremont, CA<br/>Light-Duty (Class 1-2)"
41.459836,-88.172067,Joliet Facility,EV Facility,"<strong>Joliet Facility</strong><br/>Lion Electric<br/>Channahon, IL<br/>Heavy-Duty (Class 7-8)"
38.154537,-85.728374,Louisville Assembly Plant,EV Facility,"<strong>Louisville Assembly Plant</strong><br/>Ford<br/>Louisville, KY<br/>Light-Duty (Class 1-2)"
42.722703,-84.561582,Lansing Grand River,EV Facility,"<strong>Lansing Grand River</strong><br/>General Motors<br/>Lansing, MI<br/>Light-Duty (Class 1-2)"
35.226761,-80.845876,Charlotte Microfactory,EV Facility,"<strong>Charlotte Microfactory</strong><br/>Arrival<br/>Charlotte, NC<br/>Multiple Classes"
34.941355,-81.0300374,Rock Hill Microfactory,EV Facility,"<strong>Rock Hill Microfactory</strong><br/>Arrival<br/>Rock Hill, SC<br/>Multiple Classes"
37.672111,-122.083963,Zoox Hayward Factory,EV Facility,"<strong>Zoox Hayward Factory</strong><br/>Zoox<br/>Hayward, CA<br/>Light-Duty (Class 1-2)"
32.774237,-96.609069,Mesquite Electric Truck Integration Facility,EV Facility,"<strong>Mesquite Electric Truck Integration Facility</strong><br/>Hexagon Purus<br/>Mesquite, TX<br/>Heavy-Duty (Class 7-8)"
36.1690921,-115.1405767,Alexander Dennis Manufacturing,EV Facility,"<strong>Alexander Dennis Manufacturing</strong><br/>Big Rig Manufacturing<br/>Las Vegas, NV<br/>Heavy-Duty (Class 7-8)"
32.0806102,-81.0900966,Metaplant Manufacturing Joint Venture (JV),EV Facility,"<strong>Metaplant Manufacturing Joint Venture (JV)</strong><br/>Hyundai<br/>Savannah, GA<br/>Multiple Classes"
30.264979,-97.746598,Gigafactory 5,EV Facility,"<strong>Gigafactory 5</strong><br/>Tesla<br/>Austin, TX<br/>Multiple Classes"
48.846667,-122.591196,Whatcom County Assembly Facility,EV Facility,"<strong>Whatcom County Assembly Facility</strong><br/>Vicinity<br/>Ferndale, WA<br/>Multiple Classes"
33.776069,-117.937878,Orange County,EV Facility,"<strong>Orange County</strong><br/>Harbinger Motors<br/>Garden Grove, CA<br/>Multiple Classes"
33.4151797,-111.8315,ElectraMeccanica Mesa Manufacturing Plant,EV Facility,"<strong>ElectraMeccanica Mesa Manufacturing Plant</strong><br/>Tevva<br/>Mesa, AZ<br/>Medium-Duty (Class 3-6)"
35.468494,-97.521264,Oklahoma City Assembly Facility,EV Facility,"<strong>Oklahoma City Assembly Facility</strong><br/>Canoo<br/>Oklahoma City, OK<br/>Light-Duty (Class 1-2)"
42.459791,-83.18197,Oak Park Factory,EV Facility,"<strong>Oak Park Factory</strong><br/>Bollinger Motors<br/>Oak Park, MI<br/>Multiple Classes"
34.920567,-81.996745,South Carolina Car Factory,EV Facility,"<strong>South Carolina Car Factory</strong><br/>Volvo Cars<br/>Ridgeville, SC<br/>Light-Duty (Class 1-2)"
32.901709842557,-85.129328071908,Kia Georgia,EV Facility,"<strong>Kia Georgia</strong><br/>Kia<br/>West Point, GA<br/>Light-Duty (Class 1-2)"
34.0633,-117.6509,Ontario Facility,EV Facility,"<strong>Ontario Facility</strong><br/>Cenntro Automotive<br/>Ontario, CA<br/>Multiple Classes"
32.6138758,-90.0349356,Canton Factory,EV Facility,"<strong>Canton Factory</strong><br/>Nissan<br/>Canton, MS<br/>Light-Duty (Class 1-2)"
44.69833,-73.44806,Nova Bus Plattsburgh Plant,EV Facility,"<strong>Nova Bus Plattsburgh Plant</strong><br/>Nova Bus<br/>Plattsburgh, NY<br/>Heavy-Duty (Class 7-8)"
40.394386,-105.070584,HQ and Manufacturing Facility,EV Facility,"<strong>HQ and Manufacturing Facility</strong><br/>Lightning eMotors<br/>Loveland, CO<br/>Medium-Duty (Class 3-6)"
38.25752,-84.547617,Toyota Motor Manufacturing Kentucky,EV Facility,"<strong>Toyota Motor Manufacturing Kentucky</strong><br/>Toyota<br/>Georgetown, KY<br/>Light-Duty (Class 1-2)"
37.9884331,-85.7164778,Shepherdsville Remanufacturing Facility,EV Facility,"<strong>Shepherdsville Remanufacturing Facility</strong><br/>Rivian<br/>Shepherdsville, KY<br/>Light-Duty (Class 1-2)"
39.612033282733,-84.975574960031,Workhorse Ranch,EV Facility,"<strong>Workhorse Ranch</strong><br/>Workhorse<br/>Union City, IN<br/>Medium-Duty (Class 3-6)"
34.215166,-80.973608,Blythewood Facility,EV Facility,"<strong>Blythewood Facility</strong><br/>Scout Motors<br/>Columbia, SC<br/>Light-Duty (Class 1-2)"
34.920567,-81.996745,South Carolina Car Factory,EV Facility,"<strong>South Carolina Car Factory</strong><br/>Volvo Cars<br/>Ridgeville, SC<br/>Light-Duty (Class 1-2)"
42.549289,-84.826136,Charlotte Facility,EV Facility,"<strong>Charlotte Facility</strong><br/>Blue Arc EV Solutions<br/>Charlotte, MI<br/>Medium-Duty (Class 3-6)"
39.540664,-119.439341,Gigafactory Nevada,EV Facility,"<strong>Gigafactory Nevada</strong><br/>Tesla<br/>Sparks, NV<br/>Heavy-Duty (Class 7-8)"
34.039138,-118.002779,LA Factory,EV Facility,"<strong>LA Factory</strong><br/>Proterra Powered<br/>City of Industry, CA<br/>Heavy-Duty (Class 7-8)"
36.897501,-86.447403,Bowling Green Assembly,EV Facility,"<strong>Bowling Green Assembly</strong><br/>General Motors<br/>Bowling Green, KY<br/>Light-Duty (Class 1-2)"
33.1660368,-117.3379272,Aptera San Diego Manufacturing Facility,EV Facility,"<strong>Aptera San Diego Manufacturing Facility</strong><br/>Aptera<br/>Carlsbad, CA<br/>Light-Duty (Class 1-2)"
39.057593,-94.635027,Kansas City Production Facility & HQ,EV Facility,"<strong>Kansas City Production Facility & HQ</strong><br/>Orange EV<br/>Kansas City, KS<br/>Heavy-Duty (Class 7-8)"
42.2398061,-83.6145427,JB Poindexter & Co,EV Facility,"<strong>JB Poindexter & Co</strong><br/>EAVX<br/>Ypsilanti, MI<br/>Medium-Duty (Class 3-6)"
35.468494,-97.521264,Oklahoma City Assembly Facility,EV Facility,"<strong>Oklahoma City Assembly Facility</strong><br/>Canoo<br/>Oklahoma City, OK<br/>Light-Duty (Class 1-2)"
41.661126,-86.1793,ELMS Mishawaka Plant,EV Facility,"<strong>ELMS Mishawaka Plant</strong><br/>GEM Yield<br/>Mishawaka, IN<br/>Light-Duty (Class 1-2)"
34.898896,-82.174691,Plant Spartanburg,EV Facility,"<strong>Plant Spartanburg</strong><br/>BMW<br/>Greer, SC<br/>Light-Duty (Class 1-2)"
40.326752,-82.817043,East Liberty Auto Plant,EV Facility,"<strong>East Liberty Auto Plant</strong><br/>Honda<br/>East Liberty, OH<br/>Light-Duty (Class 1-2)"
40.2767,-83.507149,Marysville Auto Plant,EV Facility,"<strong>Marysville Auto Plant</strong><br/>Honda<br/>Marysville, OH<br/>Light-Duty (Class 1-2)"
40.046394,-76.296547,Lancaster Factory,EV Facility,"<strong>Lancaster Factory</strong><br/>BYD<br/>Lancaster, CA<br/>Heavy-Duty (Class 7-8)"
40.489626,-81.445585,New Philadelphia Assembly Facility,EV Facility,"<strong>New Philadelphia Assembly Facility</strong><br/>Battle Motors<br/>New Philadelphia, OH<br/>Heavy-Duty (Class 7-8)"
33.980534,-117.377025,Riverside Manufacturing Facility,EV Facility,"<strong>Riverside Manufacturing Facility</strong><br/>ELDorado National<br/>Riverside, CA<br/>Heavy-Duty (Class 7-8)"
42.51998629704,-83.041772457296,Global Technical Center,EV Facility,"<strong>Global Technical Center</strong><br/>General Motors<br/>Warren, MI<br/>Light-Duty (Class 1-2)"
41.661126,-86.1793,Electric Last Mile Solutions Mishawaka EV Plant,EV Facility,"<strong>Electric Last Mile Solutions Mishawaka EV Plant</strong><br/>Electric Last Mile Solutions<br/>Mishawaka, IN<br/>Light-Duty (Class 1-2)"
47.4746582,-122.2067903,Renton Assembly Plant,EV Facility,"<strong>Renton Assembly Plant</strong><br/>Kenworth<br/>Renton, WA<br/>Heavy-Duty (Class 7-8)"
41.487954,-82.075419,Ford Ohio Assembly Plant,EV Facility,"<strong>Ford Ohio Assembly Plant</strong><br/>Ford<br/>Sheffield, OH<br/>Medium-Duty (Class 3-6)"
39.104383,-94.505504,Kansas City Assembly Plant,EV Facility,"<strong>Kansas City Assembly Plant</strong><br/>Ford<br/>Kansas City, MO<br/>Medium-Duty (Class 3-6)"
42.307175,-83.161995,Rouge Electric Vehicle Center,EV Facility,"<strong>Rouge Electric Vehicle Center</strong><br/>Ford<br/>Dearborn, MI<br/>Light-Duty (Class 1-2)"
45.571981,-88.903414,HQ and Manufacturing Facility,EV Facility,"<strong>HQ and Manufacturing Facility</strong><br/>Hometown Trolley<br/>Crandon, WI<br/>Multiple Classes"
32.0806102,-81.0900966,Metaplant Manufacturing Joint Venture (JV),EV Facility,"<strong>Metaplant Manufacturing Joint Venture (JV)</strong><br/>Hyundai<br/>Savannah, GA<br/>Multiple Classes"
35.953972,-80.003935,High Point,EV Facility,"<strong>High Point</strong><br/>Thomas Built Buses<br/>High Point, NC<br/>Medium-Duty (Class 3-6)"
42.3950635,-83.3694956,Roush Livonia Manufacturing Facility,EV Facility,"<strong>Roush Livonia Manufacturing Facility</strong><br/>Roush Industries<br/>Livonia, MI<br/>Medium-Duty (Class 3-6)"
32.279662,-86.330304,Hyundai Motor Manufacturing Alabama,EV Facility,"<strong>Hyundai Motor Manufacturing Alabama</strong><br/>Hyundai<br/>Montgomery, AL<br/>Light-Duty (Class 1-2)"
35.622969,-79.076953,Chatham County Facility,EV Facility,"<strong>Chatham County Facility</strong><br/>VinFast<br/>Moncure, NC<br/>Multiple Classes"
40.394386,-105.070584,HQ and Manufacturing Facility,EV Facility,"<strong>HQ and Manufacturing Facility</strong><br/>Lightning eMotors<br/>Loveland, CO<br/>Medium-Duty (Class 3-6)"
35.7049312,-89.970063,Osceola Manufacturing Facility,EV Facility,"<strong>Osceola Manufacturing Facility</strong><br/>Envirotech Vehicles<br/>Osceola, AR<br/>Medium-Duty (Class 3-6)"
44.052153,-123.091195,RAMP Facility,EV Facility,"<strong>RAMP Facility</strong><br/>Arcimoto<br/>Eugene, OR<br/>Light-Duty (Class 1-2)"
32.6138758,-90.0349356,Canton Factory,EV Facility,"<strong>Canton Factory</strong><br/>Nissan<br/>Canton, MS<br/>Light-Duty (Class 1-2)"
33.834492,-117.915638,Anaheim Manufacturing Facility,EV Facility,"<strong>Anaheim Manufacturing Facility</strong><br/>GEM<br/>Anaheim, CA<br/>Light-Duty (Class 1-2)"
38.361263,-81.695596,West Virginia Facility,EV Facility,"<strong>West Virginia Facility</strong><br/>GreenPower Motors<br/>South Charleston, WV<br/>Heavy-Duty (Class 7-8)"
39.067067,-84.090871,Ohio Remanufacturing Facility,EV Facility,"<strong>Ohio Remanufacturing Facility</strong><br/>Pegasus Specialty Vehicles<br/>Dunkirk, OH<br/>Medium-Duty (Class 3-6)"
40.512715,-75.549535,Macungie Assembly Plant,EV Facility,"<strong>Macungie Assembly Plant</strong><br/>Mack Trucks<br/>Macungie, PA<br/>Heavy-Duty (Class 7-8)"
36.3071316,-95.314464,MegaMicro Factory,EV Facility,"<strong>MegaMicro Factory</strong><br/>Canoo<br/>Pryor, OK<br/>Multiple Classes"
