Database,"Source ID",Year,"Outlet ID",Title,"Outlet Type",State,City,County,"Ethnic Media","SPA Full Member","Owner ID","Owner Name","Owner Type",Website,Frequency,"Total Circulation","Days Published","Average Paid Circulation","Average Free Circulation","Circulation Source","EP Audit Source","Type of Station",Group,AM/FM,"Original Content Station"
Newspaper,NP2922-2004,2004,NP2922,"Adair Progress",,Kentucky,Columbia,Adair,No,No,OW1373,"Adair Progress Inc",,,W,4900,1,,,,,,,,
Newspaper,NP2922-2014,2014,NP2922,"Adair Progress",,Kentucky,Columbia,Adair,No,No,OW1373,"Adair Progress Inc",,,W,4656,1,,,,,,,,
Newspaper,NP2922-2016,2016,NP2922,"Adair Progress",,Kentucky,Columbia,Adair,No,No,OW1373,"Adair Progress Inc",,,W,4900,1,,,,,,,,
Newspaper,NP2922-2020,2020,NP2922,"Adair Progress",,Kentucky,Columbia,Adair,No,No,OW1373,"Adair Progress Inc",Private,,W,4900,1,,,,,,,,
Newspaper,NP1578-2004,2004,NP1578,"Adams County Free Press",,Iowa,Corning,Adams,No,Yes,OW0722,"New Century Press",,,W,2000,1,,,,,,,,
Newspaper,NP1578-2014,2014,NP1578,"Adams County Free Press",,Iowa,Corning,Adams,No,Yes,OW0722,"New Century Press",,,W,1579,1,,,,,,,,
Newspaper,NP1578-2016,2016,NP1578,"Adams County Free Press",,Iowa,Corning,Adams,No,Yes,OW0722,"New Century Press",,,W,2400,1,,,,,,,,
Newspaper,NP1578-2018,2018,NP1578,"Adams County Free Press",,Iowa,Corning,Adams,No,Yes,OW0722,"New Century Press",Private,,W,2400,1,2400,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP1578-2020,2020,NP1578,"Adams County Free Press",,Iowa,Corning,Adams,No,No,OW0722,"New Century Press",Private,,W,2400,1,,,,,,,,
Newspaper,NP1883-2004,2004,NP1883,"Adams County Record",,Idaho,Council,Adams,No,Yes,OW0889,"Blevins, Timothy",,,W,1709,1,,,,,,,,
Newspaper,NP4895-2004,2004,NP4895,"Adams County Record",,"North Dakota",Hettinger,Adams,No,No,OW2142,"Country Media Inc",,,W,2000,1,,,,,,,,
Newspaper,NP1883-2014,2014,NP1883,"Adams County Record",,Idaho,Council,Adams,No,Yes,OW4208,"Sall Lyle",,,W,1507,1,,,,,,,,
Newspaper,NP4895-2014,2014,NP4895,"Adams County Record",,"North Dakota",Hettinger,Adams,No,No,OW2142,"Country Media Inc",,,W,1183,1,,,,,,,,
Newspaper,NP1883-2016,2016,NP1883,"Adams County Record",,Idaho,Council,Adams,No,Yes,OW4208,"Sall Lyle",,,W,1775,1,,,,,,,,
Newspaper,NP4895-2016,2016,NP4895,"Adams County Record",,"North Dakota",Hettinger,Adams,No,Yes,OW2142,"Country Media Inc",,,W,1183,1,,,,,,,,
Newspaper,NP4895-2018,2018,NP4895,"Adams County Record",,"North Dakota",Hettinger,Adams,No,No,OW2142,"Country Media Inc",,,W,1232,1,1232,,EP,Sworn/Estimate/Non-Audited,,,,
Newspaper,NP1883-2018,2018,NP1883,"Adams County Record",,Idaho,Council,Adams,No,Yes,OW4208,"Sall Lyle",Private,,W,1775,1,,,,,,,,
Newspaper,NP1883-2020,2020,NP1883,"Adams County Record",,Idaho,Council,Adams,No,No,OW4208,"Sall Lyle",Private,,W,1775,1,,,,,,,,
Newspaper,NP4895-2020,2020,NP4895,"Adams County Record",,"North Dakota",Hettinger,Adams,No,No,OW2142,"Country Media Inc",,,W,1232,1,,,,,,,,
Newspaper,NP8397-2004,2004,NP8397,"Adams-Friendship Times Reporter",,Wisconsin,Adams,Adams,No,No,OW0750,"News Publishing Co Inc (WI)",,,W,5000,1,,,,,,,,
Newspaper,NP8397-2014,2014,NP8397,"Adams-Friendship Times Reporter",,Wisconsin,Adams,Adams,No,No,OW0750,"News Publishing Co Inc (WI)",,,W,1500,1,,,,,,,,
Newspaper,NP8397-2016,2016,NP8397,"Adams-Friendship Times Reporter",,Wisconsin,Adams,Adams,No,Yes,OW0750,"News Publishing Co Inc (WI)",,,W,1500,1,,,,,,,,
Newspaper,NP8397-2018,2018,NP8397,"Adams-Friendship Times Reporter",,Wisconsin,Adams,Adams,No,No,OW5088,"News Publishing Co  Inc (WI)",,,W,1500,1,,,Unknown,,,,,
Newspaper,NP8397-2020,2020,NP8397,"Adams-Friendship Times Reporter",,Wisconsin,Adams,Adams,No,No,OW5088,"News Publishing Co  Inc (WI)",,,W,1500,1,,,,,,,,
