name,institution_type,avg_rad,no2,impervious_surface
"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA",Fortune 500 HQ,85.59917,4.7735474734616414e-5,100
"458. Dillard's, Little Rock AR, USA",Fortune 500 HQ,77.315834,2.999409869985406e-5,100
334. COTY,Fortune 500 HQ,158.49083,1.1137873414493032e-4,99
"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA",Fortune 500 HQ,29.381666,3.66171452168494e-5,99
"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA",Fortune 500 HQ,139.83667,5.349335236583694e-5,100
"456. Marathon Oil, Houston, TX, USA",Fortune 500 HQ,64.23417,4.044040016268735e-5,100
332. First Data,Fortune 500 HQ,158.49083,1.1137873414493032e-4,99
"455. Seaboard Corporation Shawnee Mission, KS, USA",Fortune 500 HQ,75.32667,4.2303930137863254e-5,89
331. Hertz Global Holdings,Fortune 500 HQ,20.048334,2.2673004702954448e-5,0
"454. Chemours, Wilmington, DE, USA",Fortune 500 HQ,122.8375,4.634085701209006e-5,100
"453. Northern Trust, Chicago, IL, USA",Fortune 500 HQ,235.68083,6.90932632450495e-5,95
330. Calpine,Fortune 500 HQ,153.30667,4.62703000555975e-5,89
"452. Rockwell Automation, Inc., Milwaukee, WI, USA",Fortune 500 HQ,118.38416,4.370542177808618e-5,92
"329. O'Reilly Auto Parts Distribution Center, West Broadway Avenue, Minneapolis, MN, USA",Fortune 500 HQ,36.921665,4.43088392531404e-5,95
"45. Burlington Stores, Burlington, NJ, USA",Fortune 500 HQ,34.7375,6.028009771726028e-5,66
328. Hormel Foods,Fortune 500 HQ,55.845,3.000963036752014e-5,95
327. Altice USA,Fortune 500 HQ,36.680832,5.646127787946448e-5,95
"450. Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA",Fortune 500 HQ,35.775,5.2253165647871866e-5,82
"449. Ulta Beauty, Bolingbrook, IL, USA",Fortune 500 HQ,62.2825,9.086255500555166e-5,87
326. Advance Auto Parts,Fortune 500 HQ,145.16916,3.104646648507901e-5,49
"448. Wynn Resorts,  Las Vegas, NV, USA",Fortune 500 HQ,1564.0684,5.827448871041007e-5,89
"447. Regions Financial, Birmingham, AL, USA",Fortune 500 HQ,193.50417,3.8236562706976986e-5,62
325. Mosaic,Fortune 500 HQ,64.89833,3.8892560307322e-5,78
"446. Wayfair, Boston, MA, USA",Fortune 500 HQ,122.9975,7.673807305835998e-5,95
"445. RR Donnelley and Sons, Chicago, IL, USA",Fortune 500 HQ,258.18832,7.601491201048877e-5,96
324. PVH,Fortune 500 HQ,158.49083,1.1137873414493032e-4,99
"444. Hanesbrands, Winston-Salem, NC, USA",Fortune 500 HQ,61.828335,3.236735716511033e-5,81
"323. Public Service Enterprise Group, Park Place, Newark, NJ, USA",Fortune 500 HQ,227.23834,1.253653967105048e-4,84
"443. AK Steel Holding, West Chester, OH, USA",Fortune 500 HQ,0.88666666,2.814129489642285e-5,0
"322. Interpublic Group of Companies, Third Avenue, New York, NY, USA",Fortune 500 HQ,180.29916,1.0035571628393234e-4,99
"442, Blackstone Group LP New York, NY, USA",Fortune 500 HQ,248.32083,1.0035571628393234e-4,92
"441. Markel Corporation, Glen Allen, VA, USA",Fortune 500 HQ,33.4975,2.694764879726041e-5,92
"321. Autoliv Americas, Pacific Drive, Auburn Hills, MI, USA",Fortune 500 HQ,40.19,3.4181995896178116e-5,96
"440. CMS Energy, Jackson, MI, USA",Fortune 500 HQ,79.705,3.0119986107489607e-5,100
"439. Asbury Automotive Group, Premiere Duluth, GA, USA",Fortune 500 HQ,37.815834,3.364285523840695e-5,72
"320. DCP Midstream Partners LP, 17th Street, Denver, CO, USA",Fortune 500 HQ,224.365,5.6791397915338495e-5,97
"438. Owens-Illinois, Perrysburg, OH, USA",Fortune 500 HQ,33.76,4.2176940192355547e-5,95
"437. Alleghany Corporation, Broadway, New York, NY, USA",Fortune 500 HQ,445.77417,1.0035571628393234e-4,95
"319. Boston Scientific Corporation, Boston Scientific Way, Marlborough, MA, USA",Fortune 500 HQ,9.255834,3.8005839078673045e-5,85
"436. MasTec Network Solutions,  Gables, FL, USA",Fortune 500 HQ,108.705,3.610716364898067e-5,83
318. Xerox,Fortune 500 HQ,39.89417,5.037657098739503e-5,86
"435. Arthur Gallagher Rolling Meadows, IL, USA",Fortune 500 HQ,81.16917,8.041145309899753e-5,93
"434. Olin Corporation,Clayton, MO, USA",Fortune 500 HQ,106.41917,4.717377712455083e-5,100
317. Owens & Minor,Fortune 500 HQ,11.256667,2.715267410409276e-5,37
"433. Travelcenters of America, Westlake, Ohio, USA",Fortune 500 HQ,22.834167,2.638127842920371e-5,2
