"Company","City","State","County","Latitude","Longitude","Q4.2025.Median.Home.Price","Population"
"United States Steel Pittsburgh","Pittsburgh","Pennsylvania","Allegheny",40.4406248,-79.9958864,254090,"13,002,700"
"BlackRock New York","New York","New York","New York",40.7590777,-73.9736148,1172110,"20,201,249"
"DTE Energy",NA,"Michigan","Washtenaw",42.374059,-84.078522,407140,"10,077,331"
"Principal Financial Group","Des Moines","Iowa","Polk",41.5886935,-93.6275465,288360,"3,190,369"
"Parker Hannifin Corp",NA,"Ohio","Cuyahoga",41.5065902,-81.4611707,225250,"11,799,448"
"CBS Corporation","New York","New York","New York",40.7611804,-73.9788194,1172110,"20,201,249"
"Booking Holdings Norwalk","Norwalk","Connecticut","Western Connecticut Planning Region",41.117744,-73.4081575,NA,"3,605,944"
"Ecolab","Saint Paul","Minnesota","Ramsey",44.9463336,-93.0973332,343940,"5,706,494"
"ITW  Glenview",NA,"Illinois","Cook",42.0579748,-87.8041219,357630,"12,812,508"
"Waste Management - Houston Houston","Houston","Texas","Harris",29.7561602,-95.3648818,306470,"29,145,505"
"Land O Lakes",NA,"Minnesota","Ramsey",45.062663,-93.150847,343940,"5,706,494"
"Mastercard",NA,"New York","Westchester",41.0234636,-73.7142761,732670,"20,201,249"
"Marsh Mclennan: Geiger Richard","New York","New York","New York",40.7568777,-73.9820345,1172110,"20,201,249"
"Ross Dress for Less",NA,"California","Alameda",37.7020159,-121.9314005,1108180,"39,538,223"
"Jacobs Engineering Group Dallas","Dallas","Texas","Dallas",32.7766642,-96.7969879,329370,"29,145,505"
"Celgene Corporation",NA,"New Jersey","Union",40.7090186,-74.3452692,647330,"9,288,994"
"Omnicom Group Inc","New York","New York","New York",40.7573566,-73.9753734,1172110,"20,201,249"
"PPG Industries Inc","Pittsburgh","Pennsylvania","Allegheny",40.4398325,-80.0034907,254090,"13,002,700"
"PayPal","San Jose","California","Santa Clara",37.3763719,-121.9226185,1558540,"39,538,223"
"Goodyear Auto Service",NA,"Ohio","Summit",40.9774039,-81.4927201,241300,"11,799,448"
"Colgate-Palmolive Company","New York","New York","New York",40.7570209,-73.9746695,1172110,"20,201,249"
"Supervalu  Eden Prairie",NA,"Minnesota","Hennepin",44.8562646,-93.4634171,407520,"5,706,494"
"General Mills  Minneapolis",NA,"Minnesota","Hennepin",44.9947801,-93.3931409,407520,"5,706,494"
"Texas Instruments","Dallas","Texas","Dallas",32.7766642,-96.7969879,329370,"29,145,505"
"Aramark HQ","Philadelphia","Pennsylvania","Philadelphia",39.953533,-75.1793605,266610,"13,002,700"
"Netflix Los Gatos",NA,"California","Santa Clara",37.2571032,-121.9641779,1558540,"39,538,223"
"Nordstrom Downtown Seattle","Seattle","Washington","King",47.6123411,-122.336287,903970,"7,705,281"
"Becton Dickinson  Franklin Lakes",NA,"New Jersey","Bergen",41.0169734,-74.2107153,694830,"9,288,994"
"Rockingham Estates by D.R. Horton America's Builder","Arlington","Texas","Tarrant",32.6176787,-97.0883611,350700,"29,145,505"
"Cognizant",NA,"New Jersey","Bergen",40.8729475,-74.0069886,694830,"9,288,994"
"American Electric Power Co","Columbus","Ohio","Franklin",39.9651773,-83.0060034,327270,"11,799,448"
"CDW",NA,"Illinois","Lake",42.1973796,-87.8886482,392350,"12,812,508"
"WestRock  Atlanta","Atlanta","Georgia","Fulton",33.9343834,-84.3544514,514220,"10,711,908"
"Jones Lang La Salle","Chicago","Illinois","Cook",41.880557,-87.6298254,357630,"12,812,508"
"Davita","Denver","Colorado",NA,39.7521886,-105.0034965,NA,"5,773,714"
"Lincoln Financial Group","Radnor Township","Pennsylvania","Delaware",40.043008,-75.3656481,385930,"13,002,700"
"Gap San Francisco","San Francisco","California",NA,37.7848185,-122.4074974,NA,"39,538,223"
"C.H. Robinson",NA,"Minnesota","Hennepin",44.820863,-93.460822,407520,"5,706,494"
"NextEra Energy Resources",NA,"Florida","Palm Beach",26.8591495,-80.0583923,521590,"21,538,187"
"PG&E San Francisco","San Francisco","California",NA,37.7915801,-122.3958235,NA,"39,538,223"
"Applied Materials Inc","Santa Clara","California","Santa Clara",37.3776247,-121.9787818,1558540,"39,538,223"
"EOG Resources Inc","Houston","Texas","Harris",29.7587886,-95.3708019,306470,"29,145,505"
"XPO Logistics","Bridgeport","Connecticut","Greater Bridgeport Planning Region",41.179974,-73.1706748,NA,"3,605,944"
"NGL Energy Partners LP","Tulsa","Oklahoma","Tulsa",36.0742323,-95.9250989,268610,"3,959,353"
"Emerson Electric Co.",NA,"Missouri","St. Louis",38.7315866,-90.2790342,312860,"6,154,913"
