ref_number,prefix,property_name,state,county,city,street_number,status,request_type,restricted_address,acreage_of_property,area_of_significance,category_of_property,external_link,level_of_significance_international,level_of_significance_national,level_of_significance_state,level_of_significance_local,level_of_significance_not_indicated,listed_date,nhl_designated_date,other_names,park_name,property_id,district_name,address
98000409,NA,Whatley Historic District,Alabama,Clarke,Whatley,"Roughly along Whatley Rd., from Grove Hill to the RR tracks",Listed,Multiple,FALSE,45,Architecture; Community Planning And Development,District,https://catalog.archives.gov/id/77835019,FALSE,FALSE,FALSE,TRUE,FALSE,1998-04-30,NA,NA,NA,98000409,Whatley,"Whatley Historic District, Clarke, Alabama"
73000338,NA,Colbert County Courthouse Square Historic District,Alabama,Colbert,Tuscumbia,"Roughly bounded by E. and W. 2nd, N. and S. Cave, E. and W. 6th, and N. and S. Indian Sts.",Listed,Single,FALSE,72,Architecture,District,https://catalog.archives.gov/id/77835946,FALSE,FALSE,FALSE,TRUE,FALSE,1973-05-24,NA,See Also:Tuscumbia Historic District,NA,73000338,Colbert County Courthouse Square,"Colbert County Courthouse Square Historic District, Colbert, Alabama"
84000603,NA,Nitrate Village No. 1 Historic District,Alabama,Colbert,Sheffield,"Roughly bounded by Wilson Dam Circle, Wheeler and Wilson Dam Aves., Fontana, and Pickwick Sts.",Listed,Single,FALSE,75.7,Industry; Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835952,FALSE,FALSE,TRUE,FALSE,FALSE,1984-08-30,NA,NA,NA,84000603,Nitrate Village No. 1,"Nitrate Village No. 1 Historic District, Colbert, Alabama"
10000271,NA,Sheffield Downtown Commercial Historic District,Alabama,Colbert,Sheffield,"1st & 5th Sts., Pittsburgh & Columbia Aves.",Listed,Single,FALSE,47,Commerce; Architecture; Industry; Politics/Government,District,https://catalog.archives.gov/id/77835962,FALSE,FALSE,FALSE,TRUE,FALSE,2010-05-24,NA,NA,NA,10000271,Sheffield Downtown Commercial,"Sheffield Downtown Commercial Historic District, Colbert, Alabama"
02000481,NA,Sheffield Residential Historic District,Alabama,Colbert,Sheffield,"Roughly bounded by Riverside Pk, River Bluff Dr., Wood, Third, Second Sts., 15th Ave., 27th St., and 19th Ave.",Listed,Single,FALSE,160,Community Planning And Development; Architecture,District,https://catalog.archives.gov/id/77835950,FALSE,FALSE,FALSE,TRUE,FALSE,2002-05-16,NA,NA,NA,02000481,Sheffield Residential,"Sheffield Residential Historic District, Colbert, Alabama"
85001158,NA,Tuscumbia Historic District,Alabama,Colbert,Tuscumbia,"Roughly bounded by N. & E. Commons, Eight St. and Spring Rd., Hooks, W. 5th & S. Milton including Steel Bridge",Listed,Single,FALSE,232,Commerce; Politics/Government; Architecture,District,https://catalog.archives.gov/id/77835948,FALSE,FALSE,FALSE,TRUE,FALSE,1985-05-23,NA,See Also:70000101;73000338;82001603;84000749,NA,85001158,Tuscumbia,"Tuscumbia Historic District, Colbert, Alabama"
93001542,NA,New Evergreen Commercial Historic District,Alabama,Conecuh,Evergreen,"Roughly bounded by Mill, Cooper, Rural, Court, Liberty, E. Front, Cary and Despious Sts.",Listed,Single,FALSE,12,Commerce; Transportation,District,https://catalog.archives.gov/id/77835974,FALSE,FALSE,FALSE,TRUE,FALSE,1994-01-21,NA,See Also:Louisville and Nashville Depot,NA,93001542,New Evergreen Commercial,"New Evergreen Commercial Historic District, Conecuh, Alabama"
88003238,AD,Andalusia Commercial Historic District (Additional Documentation),Alabama,Covington,Andalusia,"Court Sq., O'Neal Ct., Central, Church, Coffee, North Cotton, South Cotton, Crescent, Dunson, Historic Central, Pear, East Three Notch, and South Three Notch Sts.",Listed,Add.doc.,FALSE,49.5,Community Planning And Development; Transportation; Architecture; Commerce,District,https://catalog.archives.gov/id/77835990,FALSE,FALSE,FALSE,TRUE,FALSE,1989-01-26,NA,NA,NA,88003238,Andalusia Commercial (Additional Documentation),"Andalusia Commercial Historic District (Additional Documentation), Covington, Alabama"
100008373,BC,Andalusia Commercial Historic District (Boundary Increase And Decrease),Alabama,Covington,Andalusia,"Court Sq., O'Neal Ct., Central, Church, Coffee, North Cotton, South Cotton, Crescent, Dunson, Historic Central, Pear, East Three Notch, and South Three Notch Sts.",Listed,Boundary,FALSE,49.5,Community Planning And Development; Transportation; Architecture; Commerce; Politics/Government,District,https://catalog.archives.gov/id/77835990,FALSE,FALSE,FALSE,TRUE,FALSE,2022-11-17,NA,NA,NA,88003238,Andalusia Commercial (Boundary Increase And Decrease),"Andalusia Commercial Historic District (Boundary Increase And Decrease), Covington, Alabama"
10001050,NA,Florala Historic District,Alabama,Covington,Florala,"23216-24310 Fifth Ave, N Fifth St. 519-1189 S Fifth St. 1113-1115 Fourth St, 22510-22664 Wall St",Listed,Single,FALSE,69.5,Commerce; Architecture,District,https://catalog.archives.gov/id/77835996,FALSE,FALSE,FALSE,TRUE,FALSE,2010-12-21,NA,NA,NA,10001050,Florala,"Florala Historic District, Covington, Alabama"
09000692,NA,J.w. Shreve Addition Historic District,Alabama,Covington,Andalusia,"115-300 6th Ave, 302-425 College St., 403-505 E. Three Notch St.",Listed,Single,FALSE,30,Architecture,District,https://catalog.archives.gov/id/77835986,FALSE,FALSE,FALSE,TRUE,FALSE,2009-09-09,NA,NA,NA,09000692,J.w. Shreve Addition,"J.w. Shreve Addition Historic District, Covington, Alabama"
01001164,NA,Opp Commercial Historic District,Alabama,Covington,Opp,"Roughly bounded by Covington Ave., Hart, Main, Whaley and College Sts.",Listed,Single,FALSE,160,Architecture; Community Planning And Development; Transportation; Commerce,District,https://catalog.archives.gov/id/77835992,FALSE,FALSE,FALSE,TRUE,FALSE,2001-10-29,NA,NA,NA,01001164,Opp Commercial,"Opp Commercial Historic District, Covington, Alabama"
04000558,NA,Brantley Historic District,Alabama,Crenshaw,Brantley,"Roughly bounded by Sasser St, Fulton Ave., Peachtree St. and Wyatt, and Central of Georgia RR",Listed,Single,FALSE,48.8,Architecture; Commerce,District,https://catalog.archives.gov/id/77836002,FALSE,FALSE,FALSE,TRUE,FALSE,2004-06-02,NA,NA,NA,04000558,Brantley,"Brantley Historic District, Crenshaw, Alabama"
04000926,NA,Luverne Historic District,Alabama,Crenshaw,Luverne,"Bounded by 1st, 6th Sts., Legrande, Glenwood, Folmar and Hawkins Aves.",Listed,Single,FALSE,100,Architecture; Commerce,District,https://catalog.archives.gov/id/77836000,FALSE,FALSE,FALSE,TRUE,FALSE,2005-01-14,NA,NA,NA,04000926,Luverne,"Luverne Historic District, Crenshaw, Alabama"
85000738,NA,Cullman Downtown Commercial Historic District,Alabama,Cullman,Cullman,"Roughly bounded by 4th and 1st Aves., 2nd and 5th Sts. SE",Listed,Single,FALSE,11,Commerce; Transportation; Architecture,District,https://catalog.archives.gov/id/77836012,FALSE,FALSE,FALSE,TRUE,FALSE,1985-04-11,NA,See Also:Stiefelmeyer's,NA,85000738,Cullman Downtown Commercial,"Cullman Downtown Commercial Historic District, Cullman, Alabama"
