system:index,institution_type,name,no2,.geo
00000000000000000248_0,Power Plant,Fairgrounds,3.157387009474499E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.21655549128948,38.57814987651285]}"
00000000000000000249_0,Power Plant,Nevada,2.769806914135459E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,37.823565037852454]}"
0000000000000000024a_0,Power Plant,Ralph Green,2.8628389089573997E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.29166379760558,38.76679608617795]}"
0000000000000000024b_0,Power Plant,Lake Road (MO),2.5533332776564393E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.85760242660088,39.71002713450345]}"
0000000000000000024c_0,Power Plant,Niangua,2.5528727469747216E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.84537619017314,37.94932917762919]}"
0000000000000000024d_0,Power Plant,Labadie,4.325583719964354E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83314995374542,38.57814987651285]}"
0000000000000000024e_0,Power Plant,Osage Dam,2.5987588587965985E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.59384791061967,38.20085745718265]}"
0000000000000000024f_0,Power Plant,Sioux,4.2892419143638134E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.26721132475012,38.89256022595468]}"
00000000000000000250_0,Power Plant,Taum Sauk,2.1594269457455762E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.83314995374542,37.50915468841062]}"
00000000000000000251_0,Power Plant,Butler Municipal Power Plant,2.6662517653788442E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.35454586749394,38.26373952707102]}"
00000000000000000252_0,Power Plant,Carrollton,2.4387921742673784E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.47419688905681,39.332734715173245]}"
00000000000000000253_0,Power Plant,Carthage,2.4514658544774335E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.29166379760558,37.19474433896879]}"
00000000000000000254_0,Power Plant,Chillicothe,2.446208787782345E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.53707895894517,39.772909204391816]}"
00000000000000000255_0,Power Plant,Columbia (MO),3.185294805343283E-5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.34231963106622,38.95544229584305]}"
