system:index,impervious_surface,institution_type,name,.geo
0000000000000000005b_0,100,Fortune 500 HQ,"472. Analog Devices, Technology Way, Norwood, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.1806897960375,42.21051921993523]}"
0000000000000000005c_0,94,Fortune 500 HQ,"471. Post Holdings Inc, South Hanley Road, St. Louis, MO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33501084815474,38.61645526179265]}"
0000000000000000005d_0,100,Fortune 500 HQ,"470. S and P Global, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.99200999250444,40.749944634240606]}"
0000000000000000005e_0,80,Fortune 500 HQ,"469. Intercontinental Exchange, New Northside Drive, Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.43072328027257,33.908864037213064]}"
0000000000000000005f_0,92,Fortune 500 HQ,"478. Ameren Corporation,  St. Louis, MO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.20944720258083,38.62242274821162]}"
00000000000000000060_0,87,Fortune 500 HQ,"467. Franklin Templeton Investments, San Mateo, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.29411046078748,37.5439200660039]}"
00000000000000000061_0,100,Fortune 500 HQ,"166. iHeartMedia San Antonio, San Antonio, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.45434763246156,29.647586076964547]}"
00000000000000000062_0,100,Fortune 500 HQ,"465. NCR Global, Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.38952073223734,33.779199656478674]}"
00000000000000000063_0,72,Fortune 500 HQ,"464. Beacon Roofing Supply Inc, Huntmar Park Drive, Herndon, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.38140604508183,38.96334583029129]}"
00000000000000000064_0,99,Fortune 500 HQ,"463. ABM Industries, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
00000000000000000065_0,98,Fortune 500 HQ,"336. Mutual of Omaha® Insurance Co., Dodge Street, Omaha, NE, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.96211179875192,41.25855701289505]}"
00000000000000000066_0,52,Fortune 500 HQ,"462. M&T Bank Buffalo, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.80036532067558,43.02711893287928]}"
00000000000000000067_0,99,Fortune 500 HQ,"461. HESS New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
00000000000000000068_0,95,Fortune 500 HQ,"460. Advanced Micro Devices, Augustine Drive, Santa Clara, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.97021324800978,37.38283250703842]}"
00000000000000000069_0,88,Fortune 500 HQ,335. AGCO,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.14471214403561,34.002857081003725]}"
0000000000000000006a_0,100,Fortune 500 HQ,"459. Cintas Center, Herald Avenue, Cincinnati, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.47199153567233,39.1504666041694]}"
0000000000000000006b_0,100,Fortune 500 HQ,"458. Dillard's, Little Rock AR, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.3419107300717,34.7533478773165]}"
0000000000000000006c_0,99,Fortune 500 HQ,334. COTY,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
0000000000000000006d_0,99,Fortune 500 HQ,"457. Ascena Retail Group Inc (ASNA),Mahwah, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.1711244065772,41.073849441669694]}"
0000000000000000006e_0,100,Fortune 500 HQ,"333. Pioneer Natural Resources Company, North O'Connor Boulevard, Irving, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-96.93884349538223,32.871267803265084]}"
0000000000000000006f_0,100,Fortune 500 HQ,"456. Marathon Oil, Houston, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.47152699836708,29.74944329907942]}"
00000000000000000070_0,99,Fortune 500 HQ,332. First Data,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
00000000000000000071_0,89,Fortune 500 HQ,"455. Seaboard Corporation Shawnee Mission, KS, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-94.69109885238103,39.008177779496364]}"
00000000000000000072_0,0,Fortune 500 HQ,331. Hertz Global Holdings,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.80670919362332,26.438193340446233]}"
00000000000000000073_0,100,Fortune 500 HQ,"454. Chemours, Wilmington, DE, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-75.54852415682957,39.74465895236421]}"
00000000000000000074_0,95,Fortune 500 HQ,"453. Northern Trust, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.63273736360453,41.88149662675]}"
00000000000000000075_0,89,Fortune 500 HQ,330. Calpine,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-95.36965665356581,29.760533237441532]}"
00000000000000000076_0,92,Fortune 500 HQ,"452. Rockwell Automation, Inc., Milwaukee, WI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.91334341822017,43.01846034105574]}"
00000000000000000077_0,95,Fortune 500 HQ,"329. O'Reilly Auto Parts Distribution Center, West Broadway Avenue, Minneapolis, MN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.37365644355233,45.07490910220073]}"
00000000000000000078_0,66,Fortune 500 HQ,"45. Burlington Stores, Burlington, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.86488687823108,40.07129210931002]}"
00000000000000000079_0,95,Fortune 500 HQ,328. Hormel Foods,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-92.97471070936457,43.66664479155471]}"
0000000000000000007a_0,95,Fortune 500 HQ,327. Altice USA,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.13494409643079,40.789228824329555]}"
0000000000000000007b_0,82,Fortune 500 HQ,"450. Regeneron Pharmaceuticals, Inc., Tarrytown, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.82634891797792,41.07665645134404]}"
0000000000000000007c_0,87,Fortune 500 HQ,"449. Ulta Beauty, Bolingbrook, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-88.068233323703,41.69865944579792]}"
0000000000000000007d_0,49,Fortune 500 HQ,326. Advance Auto Parts,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-78.63830078462772,35.77969161344698]}"
0000000000000000007e_0,89,Fortune 500 HQ,"448. Wynn Resorts,  Las Vegas, NV, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.16524547037491,36.126478703173284]}"
0000000000000000007f_0,62,Fortune 500 HQ,"447. Regions Financial, Birmingham, AL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-86.81039260860261,33.51866021330371]}"
00000000000000000080_0,78,Fortune 500 HQ,325. Mosaic,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.45546306721674,45.01040168531301]}"
00000000000000000081_0,95,Fortune 500 HQ,"446. Wayfair, Boston, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.07845811691074,42.34709752033811]}"
00000000000000000082_0,96,Fortune 500 HQ,"445. RR Donnelley and Sons, Chicago, IL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-87.6298578670572,41.87807905701323]}"
00000000000000000083_0,99,Fortune 500 HQ,324. PVH,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.00593548172348,40.71277003537379]}"
00000000000000000084_0,81,Fortune 500 HQ,"444. Hanesbrands, Winston-Salem, NC, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.28497361544875,36.091111227690455]}"
00000000000000000085_0,84,Fortune 500 HQ,"323. Public Service Enterprise Group, Park Place, Newark, NJ, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-74.1678922581555,40.737080340591454]}"
00000000000000000086_0,0,Fortune 500 HQ,"443. AK Steel Holding, West Chester, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-81.3443863093102,40.233970196789116]}"
00000000000000000087_0,99,Fortune 500 HQ,"322. Interpublic Group of Companies, Third Avenue, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.96800048812217,40.75836950485045]}"
00000000000000000088_0,92,Fortune 500 HQ,"442, Blackstone Group LP New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.97251433827208,40.7580651726242]}"
00000000000000000089_0,92,Fortune 500 HQ,"441. Markel Corporation, Glen Allen, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.57696004860355,37.66153221545457]}"
0000000000000000008a_0,96,Fortune 500 HQ,"321. Autoliv Americas, Pacific Drive, Auburn Hills, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.27420596729013,42.69448272100546]}"
0000000000000000008b_0,100,Fortune 500 HQ,"440. CMS Energy, Jackson, MI, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.40209666778847,42.24672046614473]}"
0000000000000000008c_0,72,Fortune 500 HQ,"439. Asbury Automotive Group, Premiere Duluth, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.09325076183912,34.005126395154754]}"
0000000000000000008d_0,97,Fortune 500 HQ,"320. DCP Midstream Partners LP, 17th Street, Denver, CO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-104.98849656462275,39.7436000890813]}"
0000000000000000008e_0,95,Fortune 500 HQ,"438. Owens-Illinois, Perrysburg, OH, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-83.64814947151022,41.52846972216404]}"
0000000000000000008f_0,95,Fortune 500 HQ,"437. Alleghany Corporation, Broadway, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9876578659537,40.75440634359249]}"
00000000000000000090_0,85,Fortune 500 HQ,"319. Boston Scientific Corporation, Boston Scientific Way, Marlborough, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.56146644549545,42.36108850842163]}"
00000000000000000091_0,83,Fortune 500 HQ,"436. MasTec Network Solutions,  Gables, FL, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-80.25663773597938,25.76332103927868]}"
00000000000000000092_0,86,Fortune 500 HQ,318. Xerox,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.40807922726275,41.11768234264255]}"
