system:index,avg_rad,institution_type,name,.geo
00000000000000000057_0,12.74,Fortune 500 HQ,"476. Polaris Industries Inc, Highway 55, Medina, MN, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-93.57525735852026,45.0572488632249]}"
00000000000000000058_0,160.11166,Fortune 500 HQ,"475. Booz Allen Hamilton Inc, , McLean, VA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-77.23041076396557,38.92175547268857]}"
00000000000000000059_0,74.214165,Fortune 500 HQ,"474. L3Harris Technologies: Communication Systems-West, 2200 West, Salt Lake City, UT, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-111.95478807160568,40.78126811081598]}"
0000000000000000005a_0,52.7075,Fortune 500 HQ,"473. Ralph Lauren New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9650347061911,40.77228495797478]}"
0000000000000000005b_0,47.439167,Fortune 500 HQ,"472. Analog Devices, Technology Way, Norwood, MA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-71.18025732542058,42.20958941256602]}"
0000000000000000005c_0,50.735832,Fortune 500 HQ,"471. Post Holdings Inc, South Hanley Road, St. Louis, MO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33683075926939,38.616328276087934]}"
0000000000000000005d_0,328.6025,Fortune 500 HQ,"470. S and P Global, New York, NY, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-73.9919841647147,40.74982707587179]}"
0000000000000000005e_0,38.611668,Fortune 500 HQ,"469. Intercontinental Exchange, New Northside Drive, Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.43040776618354,33.90915618730164]}"
0000000000000000005f_0,102.278336,Fortune 500 HQ,"478. Ameren Corporation,  St. Louis, MO, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.21106661949266,38.62081985250853]}"
00000000000000000060_0,90.85084,Fortune 500 HQ,"467. Franklin Templeton Investments, San Mateo, CA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.29439699182136,37.5428415115651]}"
00000000000000000061_0,59.7125,Fortune 500 HQ,"166. iHeartMedia San Antonio, San Antonio, TX, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-98.45310935128926,29.646650164154508]}"
00000000000000000062_0,139.6825,Fortune 500 HQ,"465. NCR Global, Atlanta, GA, USA","{""geodesic"":false,""type"":""Point"",""coordinates"":[-84.38998357839816,33.77890047110431]}"
