Ref#,Property Name,State,County,City,Street & Number,Area of Significance,Category of Property,Other Names,Property ID,Address
00001130,Ritz Theater,FLORIDA,Seminole,Sanford,201 S. Magnolia Ave.,ENTERTAINMENT/RECREATION,BUILDING,Milane Theatre; Helen Stairs Theatre,00001130,"201 S. Magnolia Ave., Sanford, FLORIDA"
01001339,Sunrise Theatre,FLORIDA,St. Lucie,Fort Pierce,117 S. 2nd St.,ARCHITECTURE; ENTERTAINMENT/RECREATION,BUILDING,Sunrise Building; SL00799,01001339,"117 S. 2nd St., Fort Pierce, FLORIDA"
84000893,Grand Theater,GEORGIA,Bartow,Cartersville,2 Wall St.,COMMERCE; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,84000893,"2 Wall St., Cartersville, GEORGIA"
70000196,Grand Opera House,GEORGIA,Bibb,Macon,651 Mulberry St.,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,BUILDING,Academy of Music,70000196,"651 Mulberry St., Macon, GEORGIA"
71000262,Municipal Auditorium,GEORGIA,Bibb,Macon,415-435 1st St.,ENTERTAINMENT/RECREATION; ARCHITECTURE; SOCIAL HISTORY,BUILDING,NA,71000262,"415-435 1st St., Macon, GEORGIA"
100007755,Savannah Beach Town Hall and Auditorium,GEORGIA,Chatham,Tybee Island,403 Butler Ave.,ARCHITECTURE; ENTERTAINMENT/RECREATION; POLITICS/GOVERNMENT; SOCIAL HISTORY,building,Tybee Island City Hall; Tybee City Hall,100007755,"403 Butler Ave., Tybee Island, GEORGIA"
06000733,Albany Theatre,GEORGIA,Dougherty,Albany,107 N. Jackson St.,ARCHITECTURE; COMMERCE; ENTERTAINMENT/RECREATION; BLACK; SOCIAL HISTORY,BUILDING,NA,06000733,"107 N. Jackson St., Albany, GEORGIA"
74000673,Municipal Auditorium,GEORGIA,Dougherty,Albany,301 Pine Ave.,EDUCATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,NA,74000673,"301 Pine Ave., Albany, GEORGIA"
77000427,Degive's Grand Opera House,GEORGIA,Fulton,Atlanta,"157 Peachtree St., NE",ENTERTAINMENT/RECREATION; ARCHITECTURE; PERFORMING ARTS,BUILDING,Loew's Grand Theatre,77000427,"157 Peachtree St., NE, Atlanta, GEORGIA"
74002230,Fox Theatre,GEORGIA,Fulton,Atlanta,600 Peachtree St.,ARCHITECTURE; PERFORMING ARTS,BUILDING,See Also:Fox Theatre Historic District,74002230,"600 Peachtree St., Atlanta, GEORGIA"
78003178,Fox Theatre Historic District,GEORGIA,Fulton,Atlanta,Peachtree St. and Ponce de Leon Ave.,COMMERCE; ARCHITECTURE,DISTRICT,NA,78003178,"Peachtree St. and Ponce de Leon Ave., Atlanta, GEORGIA"
75000594,Odd Fellows Building and Auditorium,GEORGIA,Fulton,Atlanta,"228-250 Auburn Ave., NE",COMMERCE; ARCHITECTURE; SOCIAL HISTORY,BUILDING,NA,75000594,"228-250 Auburn Ave., NE, Atlanta, GEORGIA"
09000586,Buford Public School Auditorium,GEORGIA,Gwinnett,Buford,4975 Little Mill Rd.,ARCHITECTURE; EDUCATION; ENTERTAINMENT/RECREATION,BUILDING,NA,09000586,"4975 Little Mill Rd., Buford, GEORGIA"
